codigo,nombre,parte_analizada,humedad,energia_kcal,energia_kj,proteina,lipidos,carb_totales,carb_disp,fibra,cenizas,calcio,hierro,sodio,fosforo,yodo,zinc,magnesio,potasio,tiamina,riboflavina,niacina,folatos,vit_b12,vit_c,vit_a_er,grasa_sat,grasa_mono,grasa_poli,colesterol,parte_comestible_pct
B079,,,,,,,,,,,,138.0,6.6,56.0,59.0,1.1,50.0,554.0,0.11,0.09,1.3,152.0,0.0,161.0,421.0,90.0,,,,,
B080,"Pimentón rojo, crudo Pulpa sin semillas",,91.9,35.0,149.0,1.0,0.3,6.3,46.0,1.7,0.5,7.0,0.4,4.0,24.0,1.0,0.2,12.0,211.0,5.0,0.07,1.1,25.0,0.0,160.0,184.0,85.0,,,,
B081,,,,,,,,,,,,4.0,3.0,20.0,10.0,1.0,10.0,1735.0,6.0,3.0,5.0,10.0,0.0,903.0,20.0,80.0,,,,,
B082,"Plátano áfrica, maduro, crudo",Pulpa,66.3,136.0,578.0,1.3,0.3,31.0,28.7,2.3,1.2,4.0,0.6,4.0,35.0,0.4,0.1,37.0,499.0,0.05,0.05,0.5,22.0,0.0,18.0,57.0,72.0,,,,
B083,"Plátano áfrica, verde, crudo",Pulpa,598.0,163.0,690.0,10.0,0.2,381.0,358.0,23.0,0.9,,,,,,,,,,,,,,,,,,,,
B084,"Plátano colí o guineo, verde, crudo",Pulpa,67.4,128.0,594.0,1.3,0.1,30.3,299.0,0.4,0.9,,,,,,,,,,,,,,,,,,,,
B085,"Plátano dominico, maduro, crudo",Pulpa,66.3,136.0,578.0,1.1,0.3,31.1,288.0,2.4,1.2,4.0,0.8,4.0,35.0,0.8,0.1,37.0,499.0,5.0,0.02,0.5,22.0,0.0,17.0,57.0,65.0,,,,
B086,,,,,,,,,,,,8.0,0.9,10.0,31.0,0.8,0.1,0.07,0.03,0.6,0.0,20.0,100.0,60.0,,,,,,,
B087,"Plátano espermo, maduro, crudo",Pulpa,69.1,125.0,529.0,12.0,3.0,282.0,259.0,23.0,1.2,3.0,0.5,4.0,30.0,0.1,37.0,499.0,6.0,0.06,0.5,22.0,0.0,17.0,58.0,50.0,,,,,
B088,,,,,,,,,,,,4.0,0.5,5.0,30.0,0.2,34.0,414.0,0.05,0.05,0.6,26.0,0.0,9.0,56.0,100.0,,,,,
B089,,,,,,,,,,,,3.0,0.5,4.0,36.0,0.1,37.0,500.0,0.07,0.05,0.7,22.0,0.0,15.0,54.0,72.0,,,,,
B095,"Plátano popocho, verde, crudo Pulpa 68,9 123 521 10 02 |",,290.0,285.0,5.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
